Flow id, Packet size (bytes), Data from conn (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 24.8187, 24.0958, 309206

conn2_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 22.2959, 21.6465, 344193

conn3_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.3759, 19.7825, 376626

conn4_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.2081, 19.6195, 379754

conn5_flow1, 10000, 1000000, 1040000, 1000000, 4, 40000, 4, 20.1156, 19.3419, 385204
