Flow id, Packet size (bytes), Data from conn (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 26.7982, 26.0176, 286367

conn2_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 22.3334, 21.6829, 343615

conn3_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.4567, 19.8609, 375138

conn4_flow1, 10000, 1000000, 1040000, 1000000, 4, 40000, 4, 20.472, 19.6846, 378498

conn5_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 19.9376, 19.3569, 384906
