Flow id, Packet size (bytes), Data from conn (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 21.5478, 20.9202, 356143

conn2_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.8937, 20.2851, 367293

conn3_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.1764, 19.5887, 380351

conn4_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 24.659, 23.9408, 311208

conn5_flow1, 10000, 1000000, 1040000, 1000000, 4, 40000, 4, 20.1156, 19.3419, 385204
