Flow id, Packet size (bytes), Data from conn (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 22.086, 21.4427, 347464

conn2_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.4695, 19.8733, 374904

conn3_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 19.9416, 19.3607, 384829

conn4_flow1, 10000, 1000000, 1040000, 1000000, 4, 40000, 4, 21.3549, 20.5335, 362849

conn5_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.699, 20.0961, 370748
