Time,from_ingress_queue_size,to_ingress_queue_size
1525.88,2048,nan
3051.76,0,0
4579.64,4096,0
6111.75,6144,0
7631.39,2048,4096
7632.39,2048,0
7637.63,4096,0
9157.27,2048,2048
9158.27,2048,0
10683.2,0,2048
10684.2,0,0
13743.1,4096,0
16794.9,0,4096
16795.9,0,0
16796.9,4096,0
18322.8,6144,0
19848.7,4096,4096
19849.7,4096,0
21372.5,6144,0
21374.5,4096,2048
21375.5,4096,0
22900.4,4096,2048
22901.4,4096,0
24426.3,2048,2048
24427.3,2048,0
25950.2,6144,0
25952.2,4096,2048
25953.2,4096,0
29003.9,4096,4096
29004.9,4096,0
32055.7,4096,4096
32056.7,4096,0
35105.5,8192,0
35107.5,4096,4096
35108.5,4096,0
36631.3,6144,0
38159.2,4096,4096
38160.2,4096,0
39683.1,6144,0
39685.1,4096,2048
39686.1,4096,0
41211,4096,2048
41212,4096,0
42736.8,2048,2048
42737.8,2048,0
44260.7,6144,0
44262.7,4096,2048
44263.7,4096,0
47314.5,4096,4096
47315.5,4096,0
50366.2,4096,4096
50367.2,4096,0
53416,8192,0
53418,4096,4096
53419,4096,0
54941.9,6144,0
56469.8,4096,4096
56470.8,4096,0
57993.6,6144,0
57995.6,4096,2048
57996.6,4096,0
59521.5,2048,2048
59522.5,2048,0
61045.4,6144,0
61047.4,4096,2048
61048.4,4096,0
62573.3,6144,0
64099.1,2048,4096
64100.1,2048,0
65625,4096,2048
65626,4096,0
68674.8,8192,0
68676.8,4096,4096
68677.8,4096,0
70202.7,6144,0
71728.5,4096,4096
71729.5,4096,0
73252.4,6144,0
73254.4,4096,2048
73255.4,4096,0
74780.3,4096,2048
74781.3,4096,0
76306.2,2048,2048
76307.2,2048,0
77830.1,6144,0
77832.1,4096,2048
77833.1,4096,0
80883.8,4096,4096
80884.8,4096,0
83935.6,0,4096
83936.6,0,0
85171.6,4096,0
88153.8,6144,0
88223.4,2048,4096
88224.4,2048,0
89749.3,0,2048
89750.3,0,0
103148,2048,0
104674,0,2048
104675,0,0
107703,4096,0
