Conn id, Flow id, Throughput (Gbps)
conn1, flow1_conn1, 20.7898
conn2, flow1_conn2, 20.08
conn3, flow1_conn3, 19.6075
conn4, flow1_conn4, 21.505
conn5, flow1_conn5, 22.3712
