Time,from_ingress_queue_size,to_ingress_queue_size
3573.95,1,nan
3574.69,0,nan
3956.42,1,nan
3957.16,0,nan
4574.69,0,0
4957.16,0,0
5576.95,1,0
5577.69,0,0
5957.42,1,0
5958.16,0,0
6577.69,0,0
6958.16,0,0
8148.64,1,0
8149.39,0,0
8532.11,1,0
8532.86,0,0
9149.39,0,0
9532.86,0,0
12723.3,1,0
12724.1,0,0
13109.8,1,0
13110.6,0,0
13724.1,0,0
14110.6,0,0
17298,1,0
17298.8,0,0
17680.5,1,0
17681.2,0,0
18062,1,0
18062.7,0,0
18298.8,0,0
18443.4,1,0
18444.2,0,0
18681.2,0,0
19062.7,0,0
19444.2,0,0
21872.7,1,0
21873.5,0,0
22258.2,1,0
22258.9,0,0
22639.7,1,0
22640.4,0,0
22873.5,0,0
23021.1,1,0
23021.9,0,0
23258.9,0,0
23640.4,0,0
24021.9,0,0
26447.4,1,0
26448.2,0,0
26835.9,1,0
26836.6,0,0
27217.4,1,0
27218.1,0,0
27448.2,0,0
27598.8,1,0
27599.6,0,0
27836.6,0,0
28218.1,0,0
28599.6,0,0
31022.1,1,0
31022.9,0,0
31404.6,1,0
31405.3,0,0
31786.1,1,0
31786.8,0,0
32022.9,0,0
32167.5,1,0
32168.3,0,0
32405.3,0,0
32549,1,0
32549.7,0,0
32786.8,0,0
32930.5,1,0
32931.2,0,0
33168.3,0,0
33549.7,0,0
33931.2,0,0
35596.8,1,0
35597.6,0,0
35982.3,1,0
35983,0,0
36363.8,1,0
36364.5,0,0
36597.6,0,0
36745.2,1,0
36746,0,0
36983,0,0
37126.7,1,0
37127.4,0,0
37364.5,0,0
37508.2,1,0
37508.9,0,0
37746,0,0
38127.4,0,0
38508.9,0,0
40171.5,1,0
40172.3,0,0
40560,1,0
40560.7,0,0
40941.4,1,0
40942.2,0,0
41172.3,0,0
41322.9,1,0
41323.7,0,0
41560.7,0,0
41704.4,1,0
41705.1,0,0
41942.2,0,0
42085.9,1,0
42086.6,0,0
42323.7,0,0
42705.1,0,0
43086.6,0,0
44746.2,1,0
44746.9,0,0
45137.7,1,0
45138.4,0,0
45519.1,1,0
45519.9,0,0
45746.9,0,0
45900.6,1,0
45901.4,0,0
46138.4,0,0
46282.1,1,0
46282.8,0,0
46519.9,0,0
46663.6,1,0
46664.3,0,0
46901.4,0,0
47044,1,0
47044.8,0,0
47282.8,0,0
47664.3,0,0
48044.8,0,0
49320.9,1,0
49321.6,0,0
49713.4,1,0
49714.1,0,0
50096.8,1,0
50097.6,0,0
50321.6,0,0
50478.3,1,0
50479.1,0,0
50714.1,0,0
50859.8,1,0
50860.5,0,0
51097.6,0,0
51241.2,1,0
51242,0,0
51479.1,0,0
51621.7,1,0
51622.5,0,0
51860.5,0,0
52242,0,0
52622.5,0,0
53895.6,1,0
53896.3,0,0
54289.1,1,0
54289.8,0,0
54674.5,1,0
54675.3,0,0
54896.3,0,0
55056,1,0
55056.7,0,0
55289.8,0,0
55437.5,1,0
55438.2,0,0
55675.3,0,0
55818.9,1,0
55819.7,0,0
56056.7,0,0
56199.4,1,0
56200.2,0,0
56438.2,0,0
56580.9,1,0
