Flow id, Packet size (bytes), Data from conn (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.9623, 20.3517, 366091

conn2_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 22.9304, 22.2625, 334669

conn3_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 23.1716, 22.4967, 331185

conn4_flow1, 10000, 1000000, 1040000, 1000000, 4, 40000, 4, 23.5288, 22.6239, 329324

conn5_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 19.9376, 19.3569, 384906
