Time,from_ingress_queue_size,to_ingress_queue_size
1908.35,256,nan
3815.7,0,nan
3816.7,0,0
5741.95,256,0
7649.3,0,0
7650.3,0,0
7651.3,256,0
9558.64,0,0
9559.64,0,0
9575.55,256,0
11482.9,0,0
11483.9,0,0
11484.9,256,0
13390.2,512,0
13392.2,256,0
13393.2,256,0
15297.6,512,0
15299.6,256,0
15300.6,256,0
17204.9,512,0
17206.9,256,0
17207.9,256,0
19112.3,512,0
19114.3,256,0
19115.3,256,0
21019.6,512,0
21021.6,256,0
21022.6,256,0
22927,512,0
22929,256,0
22930,256,0
24834.3,512,0
24836.3,256,0
24837.3,256,0
26741.7,512,0
26743.7,256,0
26744.7,256,0
28649,512,0
28651,256,0
28652,256,0
30556.4,512,0
30558.4,256,0
30559.4,256,0
32463.7,512,0
32465.7,256,0
32466.7,256,0
34371.1,512,0
34373.1,256,0
34374.1,256,0
36278.4,512,0
36280.4,256,0
36281.4,256,0
38185.8,512,0
38187.8,256,0
38188.8,256,0
40093.1,512,0
40095.1,256,0
40096.1,256,0
42000.5,512,0
42002.5,256,0
42003.5,256,0
43907.8,512,0
43909.8,256,0
43910.8,256,0
45815.2,512,0
45817.2,256,0
45818.2,256,0
47722.5,512,0
47724.5,256,0
47725.5,256,0
49629.9,512,0
49631.9,256,0
49632.9,256,0
51537.2,512,0
51539.2,256,0
51540.2,256,0
53444.6,512,0
53446.6,256,0
53447.6,256,0
55351.9,512,0
55353.9,256,0
55354.9,256,0
57259.3,512,0
57261.3,256,0
57262.3,256,0
59166.6,512,0
59168.6,256,0
59169.6,256,0
61074,512,0
61076,256,0
61077,256,0
62981.3,512,0
62983.3,256,0
62984.3,256,0
64888.7,512,0
64890.7,256,0
64891.7,256,0
66796,512,0
66798,256,0
66799,256,0
68703.4,512,0
68705.4,256,0
68706.4,256,0
70610.7,512,0
70612.7,256,0
70613.7,256,0
72518.1,512,0
72520.1,256,0
72521.1,256,0
74425.4,512,0
74427.4,256,0
74428.4,256,0
76332.7,512,0
76334.7,256,0
76335.7,256,0
78240.1,512,0
78242.1,256,0
78243.1,256,0
80147.4,512,0
80149.4,256,0
80150.4,256,0
82054.8,512,0
82056.8,256,0
82057.8,256,0
83962.1,512,0
83964.1,256,0
83965.1,256,0
85869.5,512,0
85871.5,256,0
85872.5,256,0
87776.8,512,0
87778.8,256,0
87779.8,256,0
89684.2,512,0
89686.2,256,0
89687.2,256,0
91591.5,512,0
91593.5,256,0
91594.5,256,0
93498.9,512,0
93500.9,256,0
93501.9,256,0
95406.2,512,0
95408.2,256,0
95409.2,256,0
97313.6,512,0
97315.6,256,0
97316.6,256,0
99220.9,512,0
99222.9,256,0
99223.9,256,0
101128,512,0
101130,256,0
101131,256,0
103036,512,0
103038,256,0
103039,256,0
104943,512,0
104945,256,0
104946,256,0
106850,512,0
106852,256,0
106853,256,0
108758,512,0
108760,256,0
108761,256,0
110665,512,0
110667,256,0
110668,256,0
112572,512,0
112574,256,0
112575,256,0
114480,512,0
114482,256,0
114483,256,0
116387,512,0
116389,256,0
116390,256,0
118294,512,0
118296,256,0
118297,256,0
120202,512,0
120204,256,0
120205,256,0
122109,512,0
122111,256,0
122112,256,0
124016,512,0
124018,256,0
124019,256,0
125924,512,0
125926,256,0
125927,256,0
127831,512,0
127833,256,0
127834,256,0
129739,512,0
129741,256,0
129742,256,0
131646,512,0
131648,256,0
131649,256,0
133553,512,0
133555,256,0
133556,256,0
135461,512,0
135463,256,0
135464,256,0
137368,512,0
137370,256,0
137371,256,0
139275,512,0
139277,256,0
139278,256,0
141183,512,0
141185,256,0
141186,256,0
143090,512,0
143092,256,0
143093,256,0
144997,512,0
144999,256,0
145000,256,0
146905,512,0
146907,256,0
146908,256,0
148812,512,0
148814,256,0
148815,256,0
150719,512,0
150721,256,0
150722,256,0
152627,512,0
152629,256,0
152630,256,0
154534,512,0
154536,256,0
154537,256,0
156441,512,0
156443,256,0
156444,256,0
158349,512,0
158351,256,0
158352,256,0
160256,512,0
160258,256,0
160259,256,0
162163,512,0
162165,256,0
162166,256,0
164071,512,0
164073,256,0
164074,256,0
165978,512,0
165980,256,0
165981,256,0
167885,512,0
167887,256,0
167888,256,0
169793,512,0
169795,256,0
169796,256,0
171700,512,0
171702,256,0
171703,256,0
173608,512,0
173610,256,0
173611,256,0
175515,512,0
175517,256,0
175518,256,0
177422,512,0
177424,256,0
177425,256,0
179330,512,0
179332,256,0
179333,256,0
181237,512,0
181239,256,0
181240,256,0
183144,512,0
183146,256,0
183147,256,0
185052,512,0
185054,256,0
185055,256,0
186959,512,0
186961,256,0
186962,256,0
188866,512,0
188868,256,0
188869,256,0
190774,512,0
190776,256,0
190777,256,0
192681,512,0
192683,256,0
192684,256,0
194588,512,0
194590,256,0
194591,256,0
196496,512,0
196498,256,0
196499,256,0
198403,512,0
198405,256,0
198406,256,0
200310,512,0
200312,256,0
200313,256,0
202218,512,0
202220,256,0
202221,256,0
204125,512,0
204127,256,0
204128,256,0
206032,512,0
206034,256,0
206035,256,0
207940,512,0
207942,256,0
207943,256,0
209847,512,0
209849,256,0
209850,256,0
211755,512,0
211757,256,0
211758,256,0
213662,512,0
213664,256,0
213665,256,0
215569,512,0
215571,256,0
215572,256,0
217477,512,0
217479,256,0
217480,256,0
219384,512,0
219386,256,0
219387,256,0
221291,512,0
221293,256,0
221294,256,0
223199,512,0
223201,256,0
223202,256,0
225106,512,0
225108,256,0
225109,256,0
227013,512,0
227015,256,0
227016,256,0
228921,512,0
228923,256,0
228924,256,0
230828,512,0
230830,256,0
230831,256,0
232735,512,0
232737,256,0
232738,256,0
234643,512,0
234645,256,0
234646,256,0
236550,512,0
236552,256,0
236553,256,0
238457,512,0
238459,256,0
238460,256,0
240365,512,0
240367,256,0
240368,256,0
242272,512,0
242274,256,0
242275,256,0
244179,512,0
244181,256,0
244182,256,0
246087,512,0
246089,256,0
246090,256,0
247994,512,0
247996,256,0
247997,256,0
249901,512,0
249903,256,0
249904,256,0
251809,512,0
251811,256,0
251812,256,0
253716,512,0
253718,256,0
253719,256,0
255624,512,0
255626,256,0
255627,256,0
257531,512,0
257533,256,0
257534,256,0
259438,512,0
259440,256,0
259441,256,0
261346,512,0
261348,256,0
261349,256,0
263253,512,0
263255,256,0
263256,256,0
265160,512,0
265162,256,0
265163,256,0
267068,512,0
267070,256,0
267071,256,0
268975,512,0
268977,256,0
268978,256,0
270882,512,0
270884,256,0
270885,256,0
272790,512,0
272792,256,0
272793,256,0
274697,512,0
274699,256,0
274700,256,0
276604,512,0
276606,256,0
276607,256,0
278512,512,0
278514,256,0
278515,256,0
280419,512,0
280421,256,0
280422,256,0
282326,512,0
282328,256,0
282329,256,0
284234,512,0
284236,256,0
284237,256,0
286141,512,0
286143,256,0
286144,256,0
288048,512,0
288050,256,0
288051,256,0
289956,512,0
289958,256,0
289959,256,0
291863,512,0
291865,256,0
291866,256,0
293770,512,0
293772,256,0
293773,256,0
295678,512,0
295680,256,0
295681,256,0
297585,512,0
297587,256,0
297588,256,0
299493,512,0
299495,256,0
299496,256,0
301400,512,0
301402,256,0
301403,256,0
303307,512,0
303309,256,0
303310,256,0
305215,512,0
305217,256,0
305218,256,0
307122,512,0
307124,256,0
307125,256,0
309029,512,0
309031,256,0
309032,256,0
310937,512,0
310939,256,0
310940,256,0
312844,512,0
312846,256,0
312847,256,0
314751,512,0
314753,256,0
314754,256,0
316659,512,0
316661,256,0
316662,256,0
318566,512,0
318568,256,0
318569,256,0
320473,512,0
320475,256,0
320476,256,0
322381,512,0
322383,256,0
322384,256,0
324288,512,0
324290,256,0
324291,256,0
326195,512,0
326197,256,0
326198,256,0
328103,512,0
328105,256,0
328106,256,0
330010,512,0
330012,256,0
330013,256,0
331917,512,0
331919,256,0
331920,256,0
333825,512,0
333827,256,0
333828,256,0
335732,512,0
335734,256,0
335735,256,0
337640,512,0
337642,256,0
337643,256,0
339547,512,0
339549,256,0
339550,256,0
341454,512,0
341456,256,0
341457,256,0
343362,512,0
343364,256,0
343365,256,0
345269,512,0
345271,256,0
345272,256,0
347176,512,0
347178,256,0
347179,256,0
349084,512,0
349086,256,0
349087,256,0
350991,512,0
350993,256,0
350994,256,0
352898,512,0
352900,256,0
352901,256,0
354806,512,0
354808,256,0
354809,256,0
356713,512,0
356715,256,0
356716,256,0
358620,512,0
358622,256,0
358623,256,0
360528,512,0
360530,256,0
360531,256,0
362435,512,0
362437,256,0
362438,256,0
364344,0,0
364345,0,0
369069,256,0
370977,0,0
370978,0,0
397488,256,0
399395,0,0
399396,0,0
399397,256,0
401303,512,0
401305,256,0
401306,256,0
403210,512,0
403212,256,0
403213,256,0
405117,512,0
405119,256,0
405120,256,0
407025,512,0
407027,256,0
407028,256,0
408932,512,0
408934,256,0
408935,256,0
410839,512,0
410841,256,0
410842,256,0
412747,512,0
412749,256,0
412750,256,0
414654,512,0
414656,256,0
414657,256,0
416561,512,0
416563,256,0
416564,256,0
418469,512,0
418471,256,0
418472,256,0
420376,512,0
420378,256,0
420379,256,0
422283,512,0
422285,256,0
422286,256,0
424191,512,0
424193,256,0
424194,256,0
426098,512,0
426100,256,0
426101,256,0
428007,0,0
428008,0,0
503413,256,0
505320,0,0
505321,0,0
505322,256,0
507227,512,0
507229,256,0
507230,256,0
509135,512,0
509137,256,0
509138,256,0
511042,512,0
511044,256,0
511045,256,0
512949,512,0
512951,256,0
512952,256,0
514857,512,0
514859,256,0
514860,256,0
